id,code,cluster_code,adm0_code,adm0_name,prov_text_code,adm1_code,adm1_name,adm2_code,adm2_name,adm3_code,adm3_name,adm4_code,adm4_name,adm5_code,adm5_name,urban_rural,carto_house_count,carto_pop_count,import_code,status,comment,created_by,updated_by,created_at,updated_at,cluster_id
1,CE250,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011002,,Rural,126,694,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
2,CE249,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011004,,Rural,126,466,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
3,CE248,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011006,,Rural,78,442,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
4,CE247,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011008,,Rural,102,555,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
5,CE246,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011010,,Rural,98,468,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
6,CE245,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011012,,Rural,179,740,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
7,CE244,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011014,,Rural,44,279,init1,,VAST EA,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
8,CE243,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011016,,Rural,53,298,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
9,CE242,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011018,,Rural,76,413,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
10,CE241,1080AZ,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102101,CHAMUKA,01021011020,,Rural,102,533,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,108
11,CE240,1955JT,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102103,CHISAMBA,01021031003,,Rural,199,759,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,38
12,CE239,1955JT,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102103,CHISAMBA,01021031006,,Rural,91,419,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,38
13,CE238,1955JT,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102103,CHISAMBA,01021031012,,Rural,150,661,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,38
14,CE237,1955JT,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102103,CHISAMBA,01021031016,,Rural,108,470,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,38
