id,code,name,created_at,updated_at,province_id,province_code
1,3318LG,3318LG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
2,1003ZM,1003ZM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
3,1226YE,1226YE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
4,1767HJ,1767HJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
5,1881EE,1881EE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
6,1190JK,1190JK,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
7,3205CM,3205CM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
8,2641FC,2641FC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
9,1846ZL,1846ZL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
10,2356PN,2356PN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
11,2876FE,2876FE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
12,2194PN,2194PN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
13,2613ET,2613ET,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
14,1931AJ,1931AJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
15,2805PE,2805PE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
16,2791MG,2791MG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
17,1607GP,1607GP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
18,2915LN,2915LN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
19,1289TJ,1289TJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
20,1201BC,1201BC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
21,1034BT,1034BT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
22,2692BF,2692BF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
23,2018SS,2018SS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
24,1210GS,1210GS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
25,3111ZK,3111ZK,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
