id,code,name,created_by,updated_by,created_at,updated_at
1,CE,CENTRAL,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
2,CO,COPPERBELT,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
3,EA,EASTERN,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
4,LP,LUAPULA,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
5,LS,LUSAKA,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
6,MU,MUCHINGA,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
7,NO,NORTHERN,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
8,NW,NORTH WESTERN,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
9,SO,SOUTHERN,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
10,WE,WESTERN,,,2025-01-17 12:21:19.693000000,2025-01-17 12:21:19.693000000
